path_to_dir,tags,width,height,fx,cx,fy,cy,k1,k2,p1,p2,k3
scene-0001/CAM_FRONT,"CAM_FRONT,scene-0001,singapore-onenorth,day",1600,900,1266.417203046554,816.2670197447984,1266.417203046554,491.50706579294757,0,0,0,0,0
scene-0001/CAM_FRONT_RIGHT,"CAM_FRONT_RIGHT,scene-0001,singapore-onenorth,day",1600,900,1260.8474446004698,807.968244525554,1260.8474446004698,495.3344268742088,0,0,0,0,0
scene-0001/CAM_BACK_RIGHT,"CAM_BACK_RIGHT,scene-0001,singapore-onenorth,day",1600,900,1259.5137405846733,807.2529053838625,1259.5137405846733,501.19579884916527,0,0,0,0,0
scene-0001/CAM_BACK,"CAM_BACK,scene-0001,singapore-onenorth,day",1600,900,809.2209905677063,829.2196003259838,809.2209905677063,481.77842384512485,0,0,0,0,0
scene-0001/CAM_BACK_LEFT,"CAM_BACK_LEFT,scene-0001,singapore-onenorth,day",1600,900,1256.7414812095406,792.1125740759628,1256.7414812095406,492.7757465151356,0,0,0,0,0
scene-0001/CAM_FRONT_LEFT,"CAM_FRONT_LEFT,scene-0001,singapore-onenorth,day",1600,900,1272.5979470598488,826.6154927353808,1272.5979470598488,479.75165386361925,0,0,0,0,0
scene-0002/CAM_FRONT,"CAM_FRONT,scene-0002,singapore-onenorth,day",1600,900,1266.417203046554,816.2670197447984,1266.417203046554,491.50706579294757,0,0,0,0,0
scene-0002/CAM_FRONT_RIGHT,"CAM_FRONT_RIGHT,scene-0002,singapore-onenorth,day",1600,900,1260.8474446004698,807.968244525554,1260.8474446004698,495.3344268742088,0,0,0,0,0
scene-0002/CAM_BACK_RIGHT,"CAM_BACK_RIGHT,scene-0002,singapore-onenorth,day",1600,900,1259.5137405846733,807.2529053838625,1259.5137405846733,501.19579884916527,0,0,0,0,0
scene-0002/CAM_BACK,"CAM_BACK,scene-0002,singapore-onenorth,day",1600,900,809.2209905677063,829.2196003259838,809.2209905677063,481.77842384512485,0,0,0,0,0
scene-0002/CAM_BACK_LEFT,"CAM_BACK_LEFT,scene-0002,singapore-onenorth,day",1600,900,1256.7414812095406,792.1125740759628,1256.7414812095406,492.7757465151356,0,0,0,0,0
scene-0002/CAM_FRONT_LEFT,"CAM_FRONT_LEFT,scene-0002,singapore-onenorth,day",1600,900,1272.5979470598488,826.6154927353808,1272.5979470598488,479.75165386361925,0,0,0,0,0
scene-0003/CAM_FRONT,"CAM_FRONT,scene-0003,singapore-onenorth,day",1600,900,1266.417203046554,816.2670197447984,1266.417203046554,491.50706579294757,0,0,0,0,0
scene-0003/CAM_FRONT_RIGHT,"CAM_FRONT_RIGHT,scene-0003,singapore-onenorth,day",1600,900,1260.8474446004698,807.968244525554,1260.8474446004698,495.3344268742088,0,0,0,0,0
scene-0003/CAM_BACK_RIGHT,"CAM_BACK_RIGHT,scene-0003,singapore-onenorth,day",1600,900,1259.5137405846733,807.2529053838625,1259.5137405846733,501.19579884916527,0,0,0,0,0
scene-0003/CAM_BACK,"CAM_BACK,scene-0003,singapore-onenorth,day",1600,900,809.2209905677063,829.2196003259838,809.2209905677063,481.77842384512485,0,0,0,0,0
scene-0003/CAM_BACK_LEFT,"CAM_BACK_LEFT,scene-0003,singapore-onenorth,day",1600,900,1256.7414812095406,792.1125740759628,1256.7414812095406,492.7757465151356,0,0,0,0,0
scene-0003/CAM_FRONT_LEFT,"CAM_FRONT_LEFT,scene-0003,singapore-onenorth,day",1600,900,1272.5979470598488,826.6154927353808,1272.5979470598488,479.75165386361925,0,0,0,0,0
scene-0004/CAM_FRONT,"CAM_FRONT,scene-0004,singapore-onenorth,day",1600,900,1266.417203046554,816.2670197447984,1266.417203046554,491.50706579294757,0,0,0,0,0
scene-0004/CAM_FRONT_RIGHT,"CAM_FRONT_RIGHT,scene-0004,singapore-onenorth,day",1600,900,1260.8474446004698,807.968244525554,1260.8474446004698,495.3344268742088,0,0,0,0,0
scene-0004/CAM_BACK_RIGHT,"CAM_BACK_RIGHT,scene-0004,singapore-onenorth,day",1600,900,1259.5137405846733,807.2529053838625,1259.5137405846733,501.19579884916527,0,0,0,0,0
scene-0004/CAM_BACK,"CAM_BACK,scene-0004,singapore-onenorth,day",1600,900,809.2209905677063,829.2196003259838,809.2209905677063,481.77842384512485,0,0,0,0,0
scene-0004/CAM_BACK_LEFT,"CAM_BACK_LEFT,scene-0004,singapore-onenorth,day",1600,900,1256.7414812095406,792.1125740759628,1256.7414812095406,492.7757465151356,0,0,0,0,0
scene-0004/CAM_FRONT_LEFT,"CAM_FRONT_LEFT,scene-0004,singapore-onenorth,day",1600,900,1272.5979470598488,826.6154927353808,1272.5979470598488,479.75165386361925,0,0,0,0,0
scene-0005/CAM_FRONT,"CAM_FRONT,scene-0005,singapore-onenorth,day",1600,900,1266.417203046554,816.2670197447984,1266.417203046554,491.50706579294757,0,0,0,0,0
scene-0005/CAM_FRONT_RIGHT,"CAM_FRONT_RIGHT,scene-0005,singapore-onenorth,day",1600,900,1260.8474446004698,807.968244525554,1260.8474446004698,495.3344268742088,0,0,0,0,0
scene-0005/CAM_BACK_RIGHT,"CAM_BACK_RIGHT,scene-0005,singapore-onenorth,day",1600,900,1259.5137405846733,807.2529053838625,1259.5137405846733,501.19579884916527,0,0,0,0,0
scene-0005/CAM_BACK,"CAM_BACK,scene-0005,singapore-onenorth,day",1600,900,809.2209905677063,829.2196003259838,809.2209905677063,481.77842384512485,0,0,0,0,0
scene-0005/CAM_BACK_LEFT,"CAM_BACK_LEFT,scene-0005,singapore-onenorth,day",1600,900,1256.7414812095406,792.1125740759628,1256.7414812095406,492.7757465151356,0,0,0,0,0
scene-0005/CAM_FRONT_LEFT,"CAM_FRONT_LEFT,scene-0005,singapore-onenorth,day",1600,900,1272.5979470598488,826.6154927353808,1272.5979470598488,479.75165386361925,0,0,0,0,0
scene-0006/CAM_FRONT,"CAM_FRONT,scene-0006,singapore-onenorth,day",1600,900,1266.417203046554,816.2670197447984,1266.417203046554,491.50706579294757,0,0,0,0,0
scene-0006/CAM_FRONT_RIGHT,"CAM_FRONT_RIGHT,scene-0006,singapore-onenorth,day",1600,900,1260.8474446004698,807.968244525554,1260.8474446004698,495.3344268742088,0,0,0,0,0
scene-0006/CAM_BACK_RIGHT,"CAM_BACK_RIGHT,scene-0006,singapore-onenorth,day",1600,900,1259.5137405846733,807.2529053838625,1259.5137405846733,501.19579884916527,0,0,0,0,0
scene-0006/CAM_BACK,"CAM_BACK,scene-0006,singapore-onenorth,day",1600,900,809.2209905677063,829.2196003259838,809.2209905677063,481.77842384512485,0,0,0,0,0
scene-0006/CAM_BACK_LEFT,"CAM_BACK_LEFT,scene-0006,singapore-onenorth,day",1600,900,1256.7414812095406,792.1125740759628,1256.7414812095406,492.7757465151356,0,0,0,0,0
scene-0006/CAM_FRONT_LEFT,"CAM_FRONT_LEFT,scene-0006,singapore-onenorth,day",1600,900,1272.5979470598488,826.6154927353808,1272.5979470598488,479.75165386361925,0,0,0,0,0
